iter	Passed	Remaining
409	4772	6867
410	4780	6850
411	4789	6835
412	4796	6817
413	4803	6799
414	4811	6782
415	4819	6765
416	4827	6748
417	4834	6731
418	4842	6715
419	4850	6698
420	4862	6687
421	4870	6671
422	4879	6655
423	4889	6641
424	4899	6628
425	4907	6612
426	4915	6596
427	4923	6580
428	4932	6564
429	4939	6547
430	4947	6531
431	4954	6514
432	4963	6499
433	4971	6484
434	4982	6472
435	4992	6458
436	4999	6441
437	5007	6425
438	5014	6407
439	5023	6393
440	5033	6380
441	5042	6365
442	5051	6351
443	5059	6335
444	5066	6319
445	5075	6303
446	5083	6289
447	5093	6276
448	5102	6261
449	5113	6249
450	5124	6237
451	5135	6226
452	5145	6213
453	5155	6200
454	5164	6185
455	5175	6174
456	5187	6163
457	5199	6152
458	5211	6142
459	5222	6130
460	5233	6119
461	5244	6107
462	5255	6095
463	5266	6083
464	5275	6069
465	5287	6058
466	5297	6045
467	5306	6031
468	5316	6019
469	5326	6006
470	5337	5994
471	5349	5984
472	5359	5971
473	5371	5960
474	5383	5950
475	5393	5936
476	5404	5925
477	5417	5916
478	5428	5904
479	5439	5892
480	5452	5883
481	5464	5872
482	5474	5860
483	5486	5849
484	5497	5837
485	5508	5825
486	5519	5813
487	5530	5802
488	5543	5792
489	5552	5779
490	5563	5767
491	5573	5754
492	5583	5741
493	5594	5730
494	5604	5717
495	5616	5707
496	5627	5695
497	5639	5684
498	5652	5674
499	5666	5666
500	5679	5656
501	5692	5646
502	5705	5637
503	5715	5625
504	5726	5612
505	5736	5600
506	5746	5588
507	5757	5576
508	5767	5563
509	5779	5553
510	5790	5541
511	5802	5530
512	5821	5525
513	5837	5519
514	5852	5511
515	5869	5505
516	5885	5498
517	5899	5489
518	5909	5477
519	5926	5470
520	5939	5460
521	5951	5449
522	5961	5437
523	5974	5427
524	5985	5415
525	5997	5404
526	6005	5390
527	6017	5379
528	6028	5367
529	6039	5355
530	6048	5342
531	6059	5330
532	6067	5315
533	6074	5301
534	6082	5286
535	6092	5274
536	6100	5259
537	6109	5246
538	6118	5233
539	6126	5219
540	6134	5204
541	6142	5190
542	6149	5175
543	6156	5160
544	6165	5147
545	6174	5134
546	6182	5120
547	6191	5106
548	6198	5092
549	6207	5078
550	6213	5063
551	6223	5050
552	6231	5036
553	6239	5022
554	6246	5008
555	6255	4995
556	6262	4980
557	6270	4966
558	6277	4952
559	6284	4938
560	6293	4924
561	6302	4911
562	6309	4897
563	6318	4884
564	6326	4870
565	6338	4859
566	6345	4846
567	6355	4833
568	6363	4820
569	6372	4807
570	6380	4793
571	6387	4779
572	6395	4765
573	6402	4751
574	6410	4738
575	6419	4725
576	6428	4712
577	6448	4708
578	6457	4695
579	6464	4681
580	6472	4667
581	6480	4654
582	6488	4640
583	6496	4627
584	6503	4613
585	6510	4599
586	6518	4586
587	6526	4573
588	6534	4559
589	6542	4546
590	6550	4533
591	6558	4519
592	6565	4506
593	6574	4493
594	6582	4480
595	6589	4466
596	6598	4453
597	6606	4441
598	6616	4429
599	6624	4416
600	6632	4403
601	6641	4390
602	6650	4378
603	6657	4364
604	6666	4352
605	6675	4340
606	6683	4326
607	6691	4314
608	6700	4301
609	6708	4288
610	6718	4277
611	6728	4265
612	6735	4252
613	6744	4240
614	6752	4227
615	6762	4215
616	6769	4202
617	6777	4189
618	6785	4176
619	6795	4164
620	6801	4151
621	6809	4138
622	6818	4125
623	6825	4112
624	6835	4101
625	6845	4089
626	6856	4078
627	6865	4066
628	6873	4053
629	6880	4040
630	6887	4027
631	6896	4015
632	6903	4002
633	6910	3989
634	6920	3978
635	6927	3964
636	6935	3952
637	6942	3939
638	6951	3927
639	6957	3913
640	6967	3902
641	6976	3890
642	6985	3878
643	6994	3866
644	7003	3854
645	7012	3842
646	7021	3830
647	7029	3818
648	7037	3806
649	7049	3795
650	7059	3784
651	7068	3772
652	7077	3760
653	7085	3748
654	7094	3736
655	7102	3724
656	7111	3712
657	7120	3700
658	7130	3689
659	7138	3677
660	7149	3666
661	7159	3655
662	7169	3644
663	7181	3634
664	7192	3623
665	7202	3612
666	7213	3601
667	7225	3591
668	7236	3580
669	7250	3571
670	7262	3560
671	7275	3551
672	7287	3541
673	7300	3531
674	7315	3522
675	7328	3512
676	7339	3501
677	7351	3491
678	7367	3482
679	7380	3473
680	7393	3463
681	7406	3453
682	7416	3442
683	7427	3431
684	7440	3421
685	7453	3411
686	7467	3402
687	7477	3391
688	7488	3380
689	7499	3369
690	7510	3358
691	7522	3348
692	7535	3338
693	7547	3328
694	7559	3317
695	7570	3306
696	7581	3296
697	7593	3285
698	7604	3274
699	7616	3264
700	7626	3253
701	7638	3242
702	7652	3233
703	7667	3224
704	7683	3215
705	7695	3204
706	7706	3193
707	7719	3183
708	7729	3172
709	7739	3161
710	7750	3150
711	7762	3139
712	7774	3129
713	7785	3118
714	7797	3108
715	7807	3096
716	7818	3085
717	7829	3074
718	7840	3064
719	7853	3054
720	7865	3043
721	7876	3032
722	7887	3021
723	7898	3011
724	7908	2999
725	7918	2988
726	7929	2977
727	7939	2966
728	7948	2954
729	7961	2944
730	7972	2933
731	7981	2922
732	7992	2911
733	8001	2899
734	8010	2888
735	8020	2876
736	8029	2865
737	8041	2854
738	8053	2844
739	8062	2832
740	8075	2822
741	8086	2811
742	8096	2800
743	8106	2789
744	8116	2778
745	8123	2766
746	8134	2754
747	8141	2742
748	8150	2731
749	8160	2720
750	8168	2708
751	8176	2696
752	8184	2684
753	8192	2672
754	8201	2661
755	8209	2649
756	8217	2637
757	8225	2626
758	8234	2614
759	8241	2602
760	8250	2591
761	8260	2579
762	8268	2568
763	8276	2556
764	8287	2545
765	8294	2533
766	8305	2523
767	8316	2512
768	8323	2500
769	8332	2488
770	8341	2477
771	8349	2466
772	8359	2454
773	8366	2443
774	8373	2430
775	8382	2419
776	8389	2407
777	8398	2396
778	8405	2384
779	8414	2373
780	8421	2361
781	8431	2350
782	8437	2338
783	8445	2326
784	8452	2314
785	8460	2303
786	8466	2291
787	8473	2279
788	8482	2268
789	8492	2257
790	8500	2246
791	8509	2234
792	8516	2223
793	8526	2212
794	8536	2201
795	8544	2189
796	8552	2178
797	8559	2166
798	8567	2155
799	8575	2143
800	8583	2132
801	8591	2120
802	8597	2109
803	8604	2097
804	8612	2086
805	8621	2075
806	8628	2063
807	8636	2052
808	8643	2040
809	8651	2029
810	8658	2017
811	8666	2006
812	8674	1995
813	8683	1984
814	8690	1972
815	8697	1961
816	8707	1950
817	8715	1939
818	8724	1928
819	8734	1917
820	8742	1906
821	8751	1895
822	8758	1883
823	8767	1872
824	8775	1861
825	8784	1850
826	8792	1839
827	8802	1828
828	8810	1817
829	8818	1806
830	8825	1794
831	8834	1783
832	8841	1772
833	8849	1761
834	8858	1750
835	8866	1739
836	8874	1728
837	8888	1718
838	8896	1707
839	8903	1695
840	8911	1684
841	8920	1673
842	8928	1662
843	8936	1651
844	8944	1640
845	8951	1629
846	8959	1618
847	8967	1607
848	8975	1596
849	8984	1585
850	8991	1574
851	8998	1563
852	9005	1551
853	9013	1540
854	9020	1529
855	9028	1518
856	9037	1508
857	9045	1497
858	9052	1485
859	9061	1475
860	9068	1464
861	9078	1453
862	9085	1442
863	9094	1431
864	9102	1420
865	9110	1409
866	9119	1398
867	9127	1388
868	9133	1376
869	9142	1366
870	9150	1355
871	9160	1344
872	9169	1333
873	9177	1323
874	9186	1312
875	9194	1301
876	9202	1290
877	9211	1279
878	9223	1269
879	9233	1259
880	9244	1248
881	9257	1238
882	9270	1228
883	9281	1217
884	9292	1207
885	9303	1197
886	9313	1186
887	9325	1176
888	9336	1165
889	9346	1155
890	9357	1144
891	9371	1134
892	9383	1124
893	9396	1114
894	9407	1103
895	9418	1093
896	9429	1082
897	9441	1072
898	9452	1062
899	9465	1051
900	9477	1041
901	9487	1030
902	9500	1020
903	9513	1010
904	9525	999
905	9548	990
906	9569	981
907	9587	971
908	9601	961
909	9616	951
910	9628	940
911	9646	930
912	9660	920
913	9675	910
914	9689	900
915	9701	889
916	9714	879
917	9728	868
918	9743	858
919	9757	848
920	9769	837
921	9779	827
922	9790	816
923	9799	806
924	9811	795
925	9822	784
926	9833	774
927	9845	763
928	9855	753
929	9863	742
930	9874	731
931	9884	721
932	9895	710
933	9909	700
934	9921	689
935	9932	679
936	9944	668
937	9955	658
938	9966	647
939	9975	636
940	9986	626
941	9997	615
942	10008	604
943	10018	594
944	10028	583
945	10040	573
946	10050	562
947	10062	551
948	10069	541
949	10079	530
950	10088	519
951	10100	509
952	10110	498
953	10120	487
954	10133	477
955	10144	466
956	10155	456
957	10166	445
958	10176	435
959	10184	424
960	10193	413
961	10201	402
962	10209	392
963	10216	381
964	10224	370
965	10233	360
966	10242	349
967	10249	338
968	10258	328
969	10264	317
970	10273	306
971	10280	296
972	10288	285
973	10295	274
974	10301	264
975	10311	253
976	10319	242
977	10328	232
978	10336	221
979	10343	211
980	10350	200
981	10358	189
982	10366	179
983	10374	168
984	10380	158
985	10388	147
986	10395	136
987	10402	126
988	10409	115
989	10417	105
990	10425	94
991	10432	84
992	10442	73
993	10448	63
994	10457	52
995	10464	42
996	10473	31
997	10480	21
998	10489	10
999	10498	0
